[Wed Oct 07 18:02:02.184639 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:02.607628 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:03.299824 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:04.424034 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:04.933670 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:05.320391 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:05.750083 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:06.687719 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:07.206022 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:07.508748 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:08.035633 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:08.351334 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:09.063153 2020] [php7:error] [pid 26033] [client 127.0.0.1:36050] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:29.971623 2020] [php7:error] [pid 26015] [client 127.0.0.1:36106] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:30.793996 2020] [php7:error] [pid 26018] [client 127.0.0.1:36102] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:31.773794 2020] [php7:error] [pid 26015] [client 127.0.0.1:36106] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:33.083246 2020] [php7:error] [pid 26015] [client 127.0.0.1:36106] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:02:33.935145 2020] [php7:error] [pid 26015] [client 127.0.0.1:36106] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:03:36.793753 2020] [php7:error] [pid 26292] [client 127.0.0.1:36188] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:03:38.053276 2020] [php7:error] [pid 26292] [client 127.0.0.1:36188] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:03:38.586151 2020] [php7:error] [pid 26292] [client 127.0.0.1:36188] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:03:39.057777 2020] [php7:error] [pid 26292] [client 127.0.0.1:36188] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:03:39.581750 2020] [php7:error] [pid 26292] [client 127.0.0.1:36188] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:04:46.877533 2020] [php7:error] [pid 26293] [client 127.0.0.1:36204] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:04:47.424397 2020] [php7:error] [pid 26294] [client 127.0.0.1:36206] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:04:47.921914 2020] [php7:error] [pid 26294] [client 127.0.0.1:36206] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
[Wed Oct 07 18:04:49.774207 2020] [php7:error] [pid 26294] [client 127.0.0.1:36206] script '/var/www/html/index.php' not found or unable to stat, referer: http://localhost/yii2/frontend/web/
